CU편의점 분당서현점,GS편의점 분당서현점
CU편의점야탑역점,GS 편의점외대앞역점
CU 편의점 마석역점,GS편의점 폴리텍정문점
CU편의점마석우리,GS편의점마석농협
CU 편의점 이매촌한신,GS편의점강릉역점
,GS편의점송파점
